Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000,2023-04-19,2023,2
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000,2025-01-28,2025,1
Groww,Mobility,Ride Sharing,Hyderabad,Nexus Venture Partners,Series B,38052000,2021-03-14,2021,1
Groww,Mobility,Ride Sharing,Hyderabad,Peak XV,Series B,38052000,2021-03-14,2021,1
FarmBox,Consumer Electronics,Wearables,Gurugram,Kalaari Capital,Seed,455000,2023-09-11,2023,3
FarmBox,Consumer Electronics,Wearables,Gurugram,Y Combinator,Seed,455000,2023-09-11,2023,3
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000,2024-01-31,2024,1
AeroStack,EdTech,Coding Bootcamp,Delhi,Matrix Partners India,Pre-Series A,143000,2021-07-24,2021,3
AeroStack,EdTech,Coding Bootcamp,Delhi,Peak XV,Pre-Series A,143000,2021-07-24,2021,3
Ola,Retail,Fashion,Mumbai,Tiger Global,Seed,62000,2023-01-12,2023,1
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,2025-01-22,2025,1
Rapido,FoodTech,Food Delivery,Kolkata,A91 Partners,Seed,459000,2023-11-27,2023,4
Rapido,FoodTech,Food Delivery,Kolkata,Kedaara Capital,Seed,459000,2023-11-27,2023,4
Rapido,FoodTech,Food Delivery,Kolkata,Tiger Global,Seed,459000,2023-11-27,2023,4
HyperLoop,EdTech,Test Prep,Ahmedabad,Mirae Asset,Series B,35610000,2020-05-04,2020,2
HyperLoop,EdTech,Test Prep,Ahmedabad,SoftBank Vision Fund,Series B,35610000,2020-05-04,2020,2
HyperLoop,EdTech,Test Prep,Ahmedabad,Tiger Global,Series B,35610000,2020-05-04,2020,2
NextSense_10,Mobility,Ride Sharing,Delhi,IFC,Seed,54000,2020-05-19,2020,2
NextSense_10,Mobility,Ride Sharing,Delhi,Kalaari Capital,Seed,54000,2020-05-19,2020,2
