Startup,Industry,SubVertical,City,Investors,InvestmentType,InvestmentAmount_USD,Date,Year,Quarter,Log_Amount,Stage_Group
Housejoy,EdTech,K12,Mumbai,Lightspeed India,Seed,199000,2023-04-19,2023,2,5.298853076409706,Early
Groww,Media,Streaming,Bengaluru,IFC,Seed,1668000,2025-01-28,2025,1,6.22219604630172,Early
Groww,Mobility,Ride Sharing,Hyderabad,"Nexus Venture Partners, Peak XV",Series B,38052000,2021-03-14,2021,1,7.5803774880747135,Growth
FarmBox,Consumer Electronics,Wearables,Gurugram,"Kalaari Capital, Y Combinator",Seed,455000,2023-09-11,2023,3,5.658011396657113,Early
Udaan,RealEstate,Rental Tech,Mumbai,Bessemer Venture Partners,Seed,89000,2024-01-31,2024,1,4.949390006644912,Early
AeroStack,EdTech,Coding Bootcamp,Delhi,"Matrix Partners India, Peak XV",Pre-Series A,143000,2021-07-24,2021,3,5.155336037465061,Early
Ola,Retail,Fashion,Mumbai,Tiger Global,Seed,62000,2023-01-12,2023,1,4.7923916894982534,Early
FinSpace,Consumer Electronics,Wearables,Gurugram,Blume Ventures,Growth,491721000,2025-01-22,2025,1,8.691718756163597,Late
Rapido,FoodTech,Food Delivery,Kolkata,"A91 Partners, Kedaara Capital, Tiger Global",Seed,459000,2023-11-27,2023,4,5.661812685537261,Early
HyperLoop,EdTech,Test Prep,Ahmedabad,"Mirae Asset, SoftBank Vision Fund, Tiger Global",Series B,35610000,2020-05-04,2020,2,7.551571973674253,Growth
NextSense_10,Mobility,Ride Sharing,Delhi,"IFC, Kalaari Capital, Peak XV",Seed,54000,2020-05-19,2020,2,4.732393759822968,Early
LogiMart,FinTech,NeoBank,Mumbai,"Falcon Edge, Peak XV",Pre-Series A,933000,2023-04-10,2023,2,5.9698816437465,Early
CoreFlow,SaaS,DevTools,Hyderabad,"Elevation Capital, SoftBank Vision Fund, Ventures India",Pre-Series A,680000,2023-10-07,2023,4,5.832508912706237,Early
Groww,FinTech,InsurTech,Ahmedabad,Falcon Edge,Debt,374000,2020-07-23,2020,3,5.57287160220048,Other
ClearDekho,Logistics,Last Mile,Pune,Y Combinator,Private Equity,151993000,2024-12-05,2024,4,8.181823587080451,Late
NextSense,Mobility,Micro Mobility,Hyderabad,"A91 Partners, Falcon Edge, Prosus Ventures",Series A,1643000,2024-07-10,2024,3,6.215637563435061,Growth
Zomato,HealthTech,Pharmacy,Mumbai,"Blume Ventures, Elevation Capital",Private Equity,201485000,2024-02-29,2024,1,8.304242719659696,Late
FarmTech,EdTech,UpSkilling,Noida,Accel,Series A,4142000,2025-01-28,2025,1,6.617210094557434,Growth
Innovaccer,Enterprise,Security,Bengaluru,Ribbit Capital,Pre-Seed,54000,2024-04-28,2024,2,4.732393759822968,Early
CureFit,HealthTech,Health Analytics,Noida,Accel,Series B,11211000,2023-02-22,2023,1,7.0496443525693,Growth
WorkPay,Enterprise,Security,Ahmedabad,Tiger Global,Series A,5243000,2022-05-30,2022,2,6.719579857713724,Growth
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,84000,2021-05-26,2021,2,4.924279286061882,Early
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global,Angel,12000,2021-04-29,2021,2,4.079181246047625,Early
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,53939000,2022-04-23,2022,2,7.7319028906057925,Late
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,269000,2025-02-23,2025,1,5.429752280002408,Early
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global,Seed,905000,2024-11-05,2024,4,5.956648579205203,Early
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,104000,2020-02-26,2020,1,5.017033339298781,Early
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,333000,2022-06-08,2022,2,5.52244423350632,Early
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,29000,2021-01-24,2021,1,4.4623979978989565,Early
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,111000,2020-05-23,2020,2,5.045322978786658,Early
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,26948000,2021-10-30,2021,4,7.430526538680641,Growth
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,1587000,2021-09-08,2021,3,6.200576926754848,Growth
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,5988000,2022-08-10,2022,3,6.777281791671014,Growth
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,69429000,2021-08-04,2021,3,7.841540910069898,Growth
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,1762000,2021-02-11,2021,1,6.246005904076029,Early
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,643000,2023-07-13,2023,3,5.808210972924222,Early
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,45633000,2021-03-24,2021,1,7.659279021054444,Late
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,72000,2022-08-09,2022,3,4.857332496431268,Early
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,483000,2025-01-31,2025,1,5.683947130751513,Early
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,65870000,2022-12-03,2022,4,7.818687663441514,Late
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,78000,2021-10-16,2021,4,4.892094602690481,Early
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,313000,2021-11-08,2021,4,5.495544337546448,Early
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,54120000,2024-04-16,2024,2,7.733357787925585,Late
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,62216000,2023-01-23,2023,1,7.793902085947068,Growth
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,10246000,2024-06-22,2024,2,7.010554351540322,Growth
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,6014000,2023-09-19,2023,3,6.779163423764499,Growth
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,158000,2021-11-01,2021,4,5.198657086954422,Early
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,341000,2020-06-16,2020,2,5.532754378992498,Early
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,376000,2021-02-12,2021,1,5.575187844927661,Other
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,99000,2022-08-10,2022,3,4.99563519459755,Other
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,1788000,2020-02-22,2020,1,6.252367514459899,Early
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,8159000,2024-08-28,2024,3,6.911636933129442,Growth
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,1600000,2022-05-27,2022,2,6.204119982655925,Early
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,59765000,2024-08-24,2024,3,7.7764469238403615,Growth
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,5049000,2024-02-06,2024,1,6.703205370695486,Growth
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,242794000,2023-03-13,2023,1,8.385237950117023,Late
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,123000,2021-06-13,2021,2,5.089905111439398,Early
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,103000,2022-04-12,2022,2,5.012837224705172,Early
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,59000,2021-03-29,2021,1,4.770852011642144,Early
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,166000,2024-03-07,2024,1,5.220108088040055,Early
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,210000,2024-03-01,2024,1,5.3222192947339195,Early
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,136000,2022-12-10,2022,4,5.133538908370218,Other
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,135000,2022-12-29,2022,4,5.1303337684950066,Early
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,13444000,2024-03-21,2024,1,7.1285285037974395,Growth
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,141000,2021-06-01,2021,2,5.14921911265538,Other
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,370000,2024-07-19,2024,3,5.568201724066995,Early
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,1465000,2023-06-20,2023,2,6.165837624690128,Growth
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,14625000,2021-09-17,2021,3,7.165095874754218,Other
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,66000,2020-06-15,2020,2,4.819543935541868,Early
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,14477000,2023-05-01,2023,2,7.160678574400385,Growth
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,51000,2024-06-01,2024,2,4.707570176097937,Early
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,9000,2024-08-19,2024,3,3.9542425094393248,Early
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,5077000,2023-03-11,2023,1,6.705607163404605,Growth
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,1012000,2022-10-21,2022,4,6.00518051250378,Other
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,6782000,2020-02-22,2020,1,6.8313577854420675,Growth
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,107000,2024-03-28,2024,1,5.02938377768521,Early
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global",Series A,8074000,2024-07-25,2024,3,6.9070887450742955,Growth
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,59295000,2021-11-06,2021,4,7.773018073398652,Late
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,188000,2021-05-31,2021,2,5.27415784926368,Early
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,1369000,2020-04-21,2020,2,6.13640344813399,Growth
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,1207000,2023-01-29,2023,1,6.08170727009735,Early
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,84000,2023-07-14,2023,3,4.924279286061882,Early
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,169000,2024-09-19,2024,3,5.227886704613674,Early
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,6000,2021-08-20,2021,3,3.7781512503836434,Early
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,157000,2021-01-25,2021,1,5.195899652409234,Early
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,13000,2022-11-05,2022,4,4.113943352306837,Early
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,9315000,2022-09-29,2022,3,6.969182859232261,Other
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global,Series A,5621000,2021-10-21,2021,4,6.749813585292938,Growth
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global, Y Combinator",Seed,1319000,2022-08-26,2022,3,6.120244795546365,Early
WorkPay,FinTech,Lending,Noida,IFC,Bridge,285000,2021-11-10,2021,4,5.45484486000851,Other
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global",Pre-Seed,26000,2020-10-22,2020,4,4.414973347970818,Early
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,6900000,2022-03-25,2022,1,6.838849090737256,Growth
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,372329000,2020-03-14,2020,1,8.570926863909717,Late
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,396000,2024-04-06,2024,2,5.597695185925512,Other
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,161346000,2021-08-23,2021,3,8.207758203086927,Late
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,309000,2020-06-10,2020,2,5.489958479424835,Early
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,4119000,2021-06-04,2021,2,6.614791791956417,Growth
InMobi,Logistics,Fleet Management,Noida,Tiger Global,Seed,242000,2022-06-23,2022,2,5.383815365980431,Early
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global,Series A,1071000,2021-09-10,2021,3,6.029789470831855,Growth
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,1339000,2023-12-03,2023,4,6.126780577012009,Growth
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,5000,2024-03-06,2024,1,3.6989700043360187,Early
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,5604000,2023-10-20,2023,4,6.748498126613737,Growth
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,159000,2022-06-21,2022,2,5.201397124320452,Early
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,326000,2020-09-27,2020,3,5.513217600067939,Early
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global",Angel,76000,2025-04-17,2025,2,4.880813592280791,Early
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global",Series C,39284000,2021-04-07,2021,2,7.594215702370579,Late
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,227000,2020-09-10,2020,3,5.3560258571931225,Early
